ID_DM_509_99;CLASSI_LAUREE_DM_509_99;ID_DM_270_04;CLASSI_LAUREE_DM_270_04
01;Biotecnologie;L-2;Biotecnologie
02;Scienze dei servizi giuridici;L-14;Scienze dei servizi giuridici
03;Scienze della mediazione linguistica;L-12;Mediazione linguistica
04;Scienze dell'architettura e dell'ingegneria edile;L-17;Scienze dell'architettura
04;Scienze dell'architettura e dell'ingegneria edile;L-23;Scienze e tecniche dell'edilizia
05;Lettere;L-10;Lettere
06;Scienze del servizio sociale;L-39;Servizio sociale
07;Urbanistica e scienze della pianificazione territoriale e ambientale;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale
08;Ingegneria civile e ambientale;L-7;Ingegneria civile e ambientale
09;Ingegneria dell'informazione;L-8;Ingegneria dell'informazione
10;Ingegneria industriale;L-9;Ingegneria industriale
11;Lingue e culture moderne;L-11;Lingue e culture moderne
12;Scienze biologiche;L-13;Scienze biologiche
13;Scienze dei beni culturali;L-1;Beni culturali
14;Scienze della comunicazione;L-20;Scienze della comunicazione
15;Scienze politiche e delle relazioni internazionali;L-36;Scienze politiche e delle relazioni internazionali
16;Scienze della Terra;L-34;Scienze geologiche
17;Scienze dell'economia e della gestione aziendale;L-18;Scienze dell'economia e della gestione aziendale
18;Scienze dell'educazione e della formazione;L-19;Scienze dell'educazione e della formazione
19;Scienze dell'amministrazione;L-16;Scienze dell'amministrazione e dell'organizzazione
20;Scienze e tecnologie agrarie, agroalimentari e forestali;L-25;Scienze e tecnologie agrarie e forestali
20;Scienze e tecnologie agrarie, agroalimentari e forestali;L-26;Scienze e tecnologie agro-alimentari
21;Scienze e tecnologie chimiche;L-27;Scienze e tecnologie chimiche
22;Scienze e tecnologie della navigazione marittima e aerea;L-28;Scienze e tecnologie della navigazione
23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;L-3;Discipline delle arti figurative, della musica, dello spettacolo e della moda
24;Scienze e tecnologie farmaceutiche;L-29;Scienze e tecnologie farmaceutiche
25;Scienze e tecnologie fisiche;L-30;Scienze e tecnologie fisiche
26;Scienze e tecnologie informatiche;L-31;Scienze e tecnologie informatiche
27;Scienze e tecnologie per l'ambiente e la natura;L-32;Scienze e tecnologie per l'ambiente e la natura
28;Scienze economiche;L-33;Scienze economiche
29;Filosofia;L-5;Filosofia
30;Scienze geografiche;L-6;Geografia
31;Scienze giuridiche;L-14;Scienze dei servizi giuridici
32;Scienze matematiche;L-35;Scienze matematiche
33;Scienze delle attività motorie e sportive;L-22;Scienze delle attività motorie e sportive
34;Scienze e tecniche psicologiche;L-24;Scienze e tecniche psicologiche
35;Scienze sociali per la cooperazione, lo sviluppo e la pace;L-37;Scienze sociali per la cooperazione, lo sviluppo e la pace
36;Scienze sociologiche;L-40;Sociologia
37;Scienze statistiche;L-41;Statistica
38;Scienze storiche;L-42;Storia
39;Scienze del turismo;L-15;Scienze del turismo
40;Scienze e tecnologie zootecniche e delle produzioni animali;L-38;Scienze zootecniche e tecnologie delle produzioni animali
41;Tecnologie per la conservazione e il restauro dei beni culturali;L-43;Tecnologie per la conservazione e il restauro dei beni culturali
42;Disegno industriale;L-4;Disegno industriale
SNT/01;Scienze infermieristiche e ostetriche;L/SNT1;Scienze infermieristiche e ostetriche
SNT/02;Scienze delle professioni sanitarie della riabilitazione;L/SNT2;Scienze delle professioni sanitarie della riabilitazione
SNT/03;Scienze delle professioni sanitarie tecniche;L/SNT3;Scienze delle professioni sanitarie tecniche
SNT/04;Scienze delle professioni sanitarie della prevenzione;L/SNT4;Scienze delle professioni sanitarie della prevenzione
